Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
in,1.0,,,,,,,,,,,,,
hazy,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
portable,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
apices,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
bibasilar,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
temperature,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
than,1.0,,,,,,,,,,,,,
slightly,1.0,,,,,,,,,,,,,
yesterday's,1.0,,,,,,,,,,,,,
on,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
except,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
not,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
osseous,1.0,,,,,,,,,,,,,
svc.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
right,1.0,,,,,,,,,,,,,
longer,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
apices,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
evidence,1.0,,,,,,,,,,,,,
present,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
"unchanged,",1.0,,,,,,,,,,,,,
portable,1.0,,,,,,,,,,,,,
stable.,1.0,,,,,,,,,,,,,
effusions,,,,,,,,,,,1.0,,,
are,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
subclavian,1.0,,,,,,,,,,,,,
orogastric,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
chest.,1.0,,,,,,,,,,,,,
cardiomediastinal,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
aorta.,1.0,,,,,,,,,,,,,
available,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
hilar,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
low,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
cm,1.0,,,,,,,,,,,,,
associated,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
normal.,1.0,,,,,,,,,,,,,
consolidations.,,,,,,,1.0,,,,,,,
catheter,1.0,,,,,,,,,,,,,1.0
of,1.0,,,,,,,,,,,,,
approximately,1.0,,,,,,,,,,,,,
"cardiomegaly,",,,1.0,,,,,,,,,,,
ends,1.0,,,,,,,,,,,,,
from,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
has,1.0,,,,,,,,,,,,,
left-sided,1.0,,,,,,,,,,,,,
normal.,1.0,,,,,,,,,,,,,
3.6,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
terminates,1.0,,,,,,,,,,,,,
below,1.0,,,,,,,,,,,,,
atrium,1.0,,,,,,,,,,,,,
consolidation,,,,,,,1.0,,,,,,,
imaged,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
projects,1.0,,,,,,,,,,,,,
for,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
focal,1.0,,,,,,,,,,,,,
base,1.0,,,,,,,,,,,,,
infiltrate,,,,,1.0,,,,,,,,,
again,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
endotracheal,1.0,,,,,,,,,,,,,
normal.,1.0,,,,,,,,,,,,,
contour,,1.0,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
minimal,1.0,,,,,,,,,,,,,
effusions,,,,,,,,,,,1.0,,,
are,1.0,,,,,,,,,,,,,
low.,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
other,1.0,,,,,,,,,,,,,
osseous,1.0,,,,,,,,,,,,,
compatible,1.0,,,,,,,,,,,,,
at,1.0,,,,,,,,,,,,,
unchanged,1.0,,,,,,,,,,,,,
patchy,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
et,1.0,,,,,,,,,,,,,
at,1.0,,,,,,,,,,,,,
place.,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
normal,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
hila,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
grossly,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
fluid,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
improved.,1.0,,,,,,,,,,,,,
clips,1.0,,,,,,,,,,,,,
definite,1.0,,,,,,,,,,,,,
hilar,1.0,,,,,,,,,,,,,
abnormalities,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
nasoenteric,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
correct,1.0,,,,,,,,,,,,,
noted.,1.0,,,,,,,,,,,,,
ng,1.0,,,,,,,,,,,,,
cardiac,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
ap,1.0,,,,,,,,,,,,,
chest,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
is,1.0,,,,,,,,,,,,,
but,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
degenerative,,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
cordis,1.0,,,,,,,,,,,,,
"pneumothorax,",,,,,,,,,,1.0,,,,
region,1.0,,,,,,,,,,,,,
atelectasis,,,,,,,,,1.0,,,,,
evaluated,1.0,,,,,,,,,,,,,
volumes,1.0,,,,,,,,,,,,,
projection.,1.0,,,,,,,,,,,,,
status,1.0,,,,,,,,,,,,,
lobe,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
pleural,1.0,,,,,,,,,,,,,
chest,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
low,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
density,,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
thickening.,,,,,,,,,,,,,,
wires,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
low.,1.0,,,,,,,,,,,,,
small,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
prior.,1.0,,,,,,,,,,,,,
hilar,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
vein.,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
congestion,1.0,,,,,,,,,,,,,
region,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
quadrant,1.0,,,,,,,,,,,,,
persistent,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
similar.,1.0,,,,,,,,,,,,,
consolidative,,,,,,,1.0,,,,,,,
the,1.0,,,,,,,,,,,,,
"study,",1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
without,1.0,,,,,,,,,,,,,
"tube,",1.0,,,,,,,,,,,,,1.0
left,1.0,,,,,,,,,,,,,
terminating,1.0,,,,,,,,,,,,,
compared,1.0,,,,,,,,,,,,,
status,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
trace,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
"technique,",1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
submitted.,1.0,,,,,,,,,,,,,
zone,1.0,,,,,,,,,,,,,
examination.,1.0,,,,,,,,,,,,,
on,1.0,,,,,,,,,,,,,
catheter,1.0,,,,,,,,,,,,,1.0
degree,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
into,1.0,,,,,,,,,,,,,
apical,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
within,1.0,,,,,,,,,,,,,
well,1.0,,,,,,,,,,,,,
mildly,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
lungs,1.0,,,,,,,,,,,,,
slightly,1.0,,,,,,,,,,,,,
otherwise,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
opacity,,,,,1.0,,,,,,,,,
size,1.0,,,,,,,,,,,,,
border,1.0,,,,,,,,,,,,,
midline,1.0,,,,,,,,,,,,,
area,1.0,,,,,,,,,,,,,
vasculature,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
enlarged.,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
due,1.0,,,,,,,,,,,,,
unchanged.,1.0,,,,,,,,,,,,,
new,1.0,,,,,,,,,,,,,
bilaterally,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
below,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
"place,",1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
upper,1.0,,,,,,,,,,,,,
gastrostomy,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
examination.,1.0,,,,,,,,,,,,,
sternotomy,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
should,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
low,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
base,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
pneumothorax.,,,,,,,,,,1.0,,,,
study.,1.0,,,,,,,,,,,,,
small,1.0,,,,,,,,,,,,,
prominent,,,,,,,,,,,,,,
"edema,",,,,,,1.0,,,,,,,,
tortuous.,1.0,,,,,,,,,,,,,
unfolding,1.0,,,,,,,,,,,,,
intra-aortic,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
"present,",1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
punctate,1.0,,,,,,,,,,,,,
given,1.0,,,,,,,,,,,,,
silhouette,1.0,,,,,,,,,,,,,
prominence,,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
vascular,1.0,,,,,,,,,,,,,
bibasilar,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
projected,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
structures,1.0,,,,,,,,,,,,,
little,1.0,,,,,,,,,,,,,
collapse,,,,,,,,,1.0,,,,,
jugular,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
present.,1.0,,,,,,,,,,,,,
opacity,,,,,1.0,,,,,,,,,
projecting,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
single,1.0,,,,,,,,,,,,,
volumes,1.0,,,,,,,,,,,,,
catheter,1.0,,,,,,,,,,,,,1.0
right,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
exam.,1.0,,,,,,,,,,,,,
stable.,1.0,,,,,,,,,,,,,
about,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
placement,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
hardware,1.0,,,,,,,,,,,,,1.0
extensive,1.0,,,,,,,,,,,,,
congestion.,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
"bases,",1.0,,,,,,,,,,,,,
seen,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
less,1.0,,,,,,,,,,,,,
may,1.0,,,,,,,,,,,,,
prior,1.0,,,,,,,,,,,,,
improved,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
surgical,1.0,,,,,,,,,,,,,
field,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
overall,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
silhouette,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
reflecting,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
view,1.0,,,,,,,,,,,,,
congestion,1.0,,,,,,,,,,,,,
cardiac,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
identified,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
reflects,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
pneumothorax.,,,,,,,,,,1.0,,,,
present.,1.0,,,,,,,,,,,,,
expanded,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
radiograph,1.0,,,,,,,,,,,,,
pneumothorax.,,,,,,,,,,1.0,,,,
is,1.0,,,,,,,,,,,,,
airspace,1.0,,,,,,,,,,,,,
when,1.0,,,,,,,,,,,,,
same-day,1.0,,,,,,,,,,,,,
costophrenic,1.0,,,,,,,,,,,,,
structures,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
increased.,1.0,,,,,,,,,,,,,
atelectatic,,,,,,,,,1.0,,,,,
is,1.0,,,,,,,,,,,,,
cardiomegaly,,,1.0,,,,,,,,,,,
prominence,,,,,,,,,,,,,,
postsurgical.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
position.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
devices,1.0,,,,,,,,,,,,,1.0
right,1.0,,,,,,,,,,,,,
svc.,1.0,,,,,,,,,,,,,
portable,1.0,,,,,,,,,,,,,
bilateral,1.0,,,,,,,,,,,,,
moderately,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
lordotic,1.0,,,,,,,,,,,,,
"juncture,",1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
perihilar,1.0,,,,,,,,,,,,,
appears,1.0,,,,,,,,,,,,,
visualized,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
central,1.0,,,,,,,,,,,,,
unremarkable.,1.0,,,,,,,,,,,,,
presence,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
copd,,,,,,,,,,,,,,
silhouettes,1.0,,,,,,,,,,,,,
electronic,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
cysts,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
7,1.0,,,,,,,,,,,,,
large,1.0,,,,,,,,,,,,,
inferior,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
consolidation.,,,,,,,1.0,,,,,,,
jugular,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
contours,,1.0,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
catheter,1.0,,,,,,,,,,,,,1.0
and,1.0,,,,,,,,,,,,,
3,1.0,,,,,,,,,,,,,
overt,1.0,,,,,,,,,,,,,
picc,1.0,,,,,,,,,,,,,1.0
changed,1.0,,,,,,,,,,,,,
which,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
"base,",1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
interval,1.0,,,,,,,,,,,,,
tip,1.0,,,,,,,,,,,,,
atelectasis.,,,,,,,,,1.0,,,,,
the,1.0,,,,,,,,,,,,,
density,,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
position.,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
with,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
effusion.,,,,,,,,,,,1.0,,,
prior,1.0,,,,,,,,,,,,,
hilar,1.0,,,,,,,,,,,,,
improved,1.0,,,,,,,,,,,,,
otherwise,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
seen.,1.0,,,,,,,,,,,,,
was,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
pneumothorax.,,,,,,,,,,1.0,,,,
congestion.,1.0,,,,,,,,,,,,,
interstitial,1.0,,,,,,,,,,,,,
tip,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
portion,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
near,1.0,,,,,,,,,,,,,
consistent,1.0,,,,,,,,,,,,,
abnormalities,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
from,1.0,,,,,,,,,,,,,
unremarkable.,1.0,,,,,,,,,,,,,
shoulder,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
patchy,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
prior.,1.0,,,,,,,,,,,,,
right,1.0,,,,,,,,,,,,,
stable.,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
in,1.0,,,,,,,,,,,,,
radiograph,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
opacity,,,,,1.0,,,,,,,,,
cell,1.0,,,,,,,,,,,,,
moderate,1.0,,,,,,,,,,,,,
basilar,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
ekg,1.0,,,,,,,,,,,,,
allowing,1.0,,,,,,,,,,,,,
contour,,1.0,,,,,,,,,,,,
monitoring,1.0,,,,,,,,,,,,,
at,1.0,,,,,,,,,,,,,
ap,1.0,,,,,,,,,,,,,
mid,1.0,,,,,,,,,,,,,
middle,1.0,,,,,,,,,,,,,
due,1.0,,,,,,,,,,,,,
at,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
vasculature,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
versus,1.0,,,,,,,,,,,,,
atelectasis.,,,,,,,,,1.0,,,,,
cardiac,1.0,,,,,,,,,,,,,
prominence,,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
in,1.0,,,,,,,,,,,,,
patient,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
terminates,1.0,,,,,,,,,,,,,
increased,1.0,,,,,,,,,,,,,
minimal,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
edema.,,,,,,1.0,,,,,,,,
in,1.0,,,,,,,,,,,,,
seen.,1.0,,,,,,,,,,,,,
pneumothorax.,,,,,,,,,,1.0,,,,
"effusion,",,,,,,,,,,,1.0,,,
or,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
filter,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
port,1.0,,,,,,,,,,,,,
related,1.0,,,,,,,,,,,,,
side,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
focal,1.0,,,,,,,,,,,,,
from,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
left,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
tip,1.0,,,,,,,,,,,,,
was,1.0,,,,,,,,,,,,,
mild,1.0,,,,,,,,,,,,,
likely,1.0,,,,,,,,,,,,,
to,1.0,,,,,,,,,,,,,
glenohumeral,1.0,,,,,,,,,,,,,
there,1.0,,,,,,,,,,,,,
worse,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
size,1.0,,,,,,,,,,,,,
view,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
hydropneumothorax,,,,,,,,,,1.0,,,,
the,1.0,,,,,,,,,,,,,
pneumothorax.,,,,,,,,,,1.0,,,,
base.,1.0,,,,,,,,,,,,,
carina.,1.0,,,,,,,,,,,,,
tube,1.0,,,,,,,,,,,,,1.0
likely,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
pleural,1.0,,,,,,,,,,,,,
are,1.0,,,,,,,,,,,,,
a,1.0,,,,,,,,,,,,,
edema,,,,,,1.0,,,,,,,,
left,1.0,,,,,,,,,,,,,
appear,1.0,,,,,,,,,,,,,
"position,",1.0,,,,,,,,,,,,,
available,1.0,,,,,,,,,,,,,
pneumothorax.,,,,,,,,,,1.0,,,,
left,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
